"Advertiser Url","Keywords Count","Locations Count","Ads Count","Percent Ad Share",Visibility,"Avg Ad pos"
immigration.ca,"5 (83.3%)","3 (100.0%)",42,17.9%,93.3%,1
www.canadiancitizenshiphelp.ca,"4 (66.7%)","3 (100.0%)",35,15.0%,31.3%,3
www.canadavisa.com,"5 (83.3%)","2 (66.7%)",23,9.8%,19.4%,3
secure.exeolaw.com,"3 (50.0%)","3 (100.0%)",10,4.3%,12.3%,2
www.internationalexperience.ca,"4 (66.7%)","3 (100.0%)",16,6.8%,9.9%,2
www.akcanada.com,"4 (66.7%)","2 (66.7%)",11,4.7%,9.9%,2
www.escapehatch.to,"5 (83.3%)","3 (100.0%)",21,9.0%,9.5%,2
mdccanada.ca,"3 (50.0%)","2 (66.7%)",11,4.7%,7.5%,3
nilawyers.ca,"4 (66.7%)","3 (100.0%)",9,3.8%,5.6%,3
nomadcapitalist.com,"3 (50.0%)","2 (66.7%)",11,4.7%,4.8%,3
www.myheritage.com,"3 (50.0%)","2 (66.7%)",3,1.3%,4.0%,3
www.rmcs.bc.ca,"3 (50.0%)","3 (100.0%)",6,2.6%,3.6%,2
www.waytolegal.com,"4 (66.7%)","2 (66.7%)",2,0.9%,3.2%,2
cuin.ca,"1 (16.7%)","3 (100.0%)",6,2.6%,3.2%,2
settlement.org,"2 (33.3%)","2 (66.7%)",4,1.7%,2.4%,2
www.google.com,"2 (33.3%)","3 (100.0%)",7,3.0%,2.0%,1
online.canamigrate.com,"1 (16.7%)","2 (66.7%)",3,1.3%,1.6%,4
lebeaulaw.ca,"2 (33.3%)","1 (33.3%)",2,0.9%,1.6%,2
www.justanswer.com,"2 (33.3%)","1 (33.3%)",2,0.9%,0.8%,4
www.uiscanada.com,"1 (16.7%)","1 (33.3%)",1,0.4%,0.8%,2
www.askalawyeroncall.com,"2 (33.3%)","2 (66.7%)",2,0.9%,0.8%,5
www.canadim.com,"1 (16.7%)","1 (33.3%)",1,0.4%,0.8%,3
cis.org,"1 (16.7%)","2 (66.7%)",1,0.4%,0.8%,2
www.csmonitor.com,"1 (16.7%)","1 (33.3%)",1,0.4%,0.4%,2
www.boundless.com,"1 (16.7%)","1 (33.3%)",1,0.4%,0.4%,2
canadabychoice.com,"1 (16.7%)","1 (33.3%)",1,0.4%,0.4%,2
lp.vimb.org,"1 (16.7%)","1 (33.3%)",1,0.4%,0.4%,4
lp-eu.vimb.org,"2 (33.3%)","1 (33.3%)",1,0.4%,0.4%,2
